operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,rust,tiled_matmul,348.911,2026-09-10T01:15:52.465322,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.325,2026-09-10T01:15:52.465330,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.358,2026-09-10T01:15:52.465337,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.683,2026-09-10T01:15:52.465344,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.586,2026-09-10T01:15:52.465352,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.619,2026-09-10T01:15:52.465359,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.13,2026-09-10T01:15:52.465372,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),46.368,2026-09-10T01:15:55.163002,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),45.528,2026-09-10T01:15:55.163019,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.268,2026-09-10T01:15:55.163029,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.074,2026-09-10T01:15:55.163039,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.074,2026-09-10T01:15:55.163047,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163056,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.107,2026-09-10T01:15:55.163065,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.138,2026-09-10T01:15:55.163074,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.106,2026-09-10T01:15:55.163082,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.332,2026-09-10T01:15:55.163091,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
